,algorithm,best_score,max_iter,num_models,overhead,partial_fit_calls,patience,time,tol,workers
244,hyperband,1.5883530558953423,81,143,2.5672126816667737,1581,,7.610181093215942,,32
245,hyperband,1.6077535635266151,81,143,2.649727165259165,1581,,7.854784965515137,,32
246,hyperband,1.3187045954723193,81,143,2.5825803701620726,1581,,7.655736684799194,,32
247,hyperband,1.6231305080861287,81,143,2.6664399306482087,1581,,7.904327869415283,,32
248,hyperband,1.5097006989843886,81,143,2.561681249989705,1581,,7.593783855438232,,32
249,hyperband,1.6165348768905423,81,143,2.631710904222135,1581,,7.801378011703491,,32
250,hyperband,1.3338446652720823,81,143,2.6408788048464515,1581,,7.828555107116699,,32
251,hyperband,1.4450304112315193,81,143,2.5754016133870805,1581,,7.634456157684326,,32
252,stop_on_plateau,1.5391495366769854,81,19,184.22456038625617,19,10.0,6.562999963760376,0.01,32
253,stop_on_plateau,1.5295769450756411,81,19,116.68213292172082,19,10.0,4.156800985336304,0.1,32
254,stop_on_plateau,1.3790447940220978,81,19,185.81773189076208,19,20.0,6.619756698608398,0.01,32
255,stop_on_plateau,1.2832365949359734,81,19,184.05484651264393,19,20.0,6.5569539070129395,0.1,32
256,stop_on_plateau,1.5796568567554887,81,19,183.75262210243628,19,40.0,6.546187162399292,0.01,32
257,stop_on_plateau,1.2242576558380112,81,19,184.04138130054142,19,40.0,6.556474208831787,0.1,32
258,stop_on_plateau,1.5363021825895935,81,39,129.8960433047042,39,10.0,9.498648166656494,0.01,32
259,stop_on_plateau,1.73226188382777,81,39,74.90755064874634,39,10.0,5.477614641189575,0.1,32
260,stop_on_plateau,1.4080169643431604,81,39,149.91236955691608,39,20.0,10.962342023849487,0.01,32
261,stop_on_plateau,1.2382336449863125,81,39,107.86594488681892,39,20.0,7.887697219848633,0.1,32
262,stop_on_plateau,1.4930460524004427,81,39,152.06410008617956,39,40.0,11.11968731880188,0.01,32
263,stop_on_plateau,1.8553730071560568,81,39,130.90830419817541,39,40.0,9.572669744491577,0.1,32
264,hyperband,1.6903374756183613,243,143,2.501530988761467,4743,,22.24642777442932,,32
265,hyperband,1.482276980059058,243,143,2.5087645973925667,4743,,22.310757160186768,,32
266,hyperband,1.686950830197435,243,143,2.4266795185798755,4743,,21.580764293670654,,32
267,hyperband,1.9208899954171272,243,143,2.4655994573726248,4743,,21.926884174346924,,32
268,hyperband,1.612412987920482,243,143,2.4754477247634536,4743,,22.014466047286987,,32
269,hyperband,1.686732681693568,243,143,2.4865918203385116,4743,,22.113571882247925,,32
270,hyperband,1.7047074499554062,243,143,2.438422695081897,4743,,21.685197830200195,,32
271,hyperband,1.7843207250332027,243,143,2.488926429005917,4743,,22.134333848953247,,32
272,hyperband,1.7294659157819998,243,143,2.450426726207536,4743,,21.791951179504395,,32
273,hyperband,1.4906643070561538,243,143,2.486903853942241,4743,,22.116346836090088,,32
274,hyperband,1.505288611066978,243,143,2.506336879978211,4743,,22.289167165756226,,32
275,hyperband,1.7554205673517789,243,143,2.423975021809484,4743,,21.556712865829468,,32
276,stop_on_plateau,1.5130033218529044,243,19,534.2053932056093,19,10.0,19.03106713294983,0.01,32
277,stop_on_plateau,1.3306242904753405,243,19,104.42863598204497,19,10.0,3.7202701568603516,0.1,32
278,stop_on_plateau,1.1583168967121598,243,19,532.9844223825555,19,20.0,18.98757004737854,0.01,32
279,stop_on_plateau,1.259480113227681,243,19,189.1433314273232,19,20.0,6.738231182098389,0.1,32
280,stop_on_plateau,1.535007966209223,243,19,530.4516440943668,19,40.0,18.897339820861816,0.01,32
281,stop_on_plateau,1.2326032052452698,243,19,280.7801832232559,19,40.0,10.002794027328491,0.1,32
282,stop_on_plateau,1.5161131082920933,243,39,317.0590066502237,39,10.0,23.184939861297607,0.01,32
283,stop_on_plateau,1.2858725431326603,243,39,66.7748769124349,39,10.0,4.882912874221802,0.1,32
284,stop_on_plateau,1.1946107257930159,243,39,324.3890615609976,39,20.0,23.72095012664795,0.01,32
285,stop_on_plateau,1.5877456480449426,243,39,124.04394883375902,39,20.0,9.070713758468628,0.1,32
286,stop_on_plateau,1.583508832196419,243,39,334.3055040408404,39,40.0,24.44608998298645,0.01,32
287,stop_on_plateau,1.2754457135902872,243,39,273.23789352025744,39,40.0,19.980520963668823,0.1,32
288,hyperband,1.085647215423344,27,49,12.09798077352686,357,,4.0490429401397705,,64
