,alg,best_score_max,best_score_mean,best_score_median,best_score_min,best_score_std,patience,tol,wall_time (min),wall_time (s)
134,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991547028223674,41.94928216934204
135,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991547028223674,41.94928216934204
136,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991547107696533,41.9492826461792
137,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991547147432963,41.94928288459778
138,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991547187169392,41.94928312301636
139,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991547266642253,41.949283599853516
140,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991547306378683,41.949283838272095
141,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991547306378683,41.949283838272095
142,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991547346115112,41.949284076690674
143,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991547385851542,41.94928431510925
144,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991547385851542,41.94928431510925
145,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991547425587972,41.94928455352783
146,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991547465324401,41.94928479194641
147,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991547505060832,41.94928503036499
148,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991547544797262,41.94928526878357
149,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991547544797262,41.94928526878357
150,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991547624270121,41.94928574562073
151,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991547703742981,41.949286222457886
152,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991547703742981,41.949286222457886
153,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.699154774347941,41.949286460876465
154,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.699154778321584,41.949286699295044
155,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991547822952271,41.94928693771362
156,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991547862688701,41.9492871761322
157,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991547862688701,41.9492871761322
158,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.699154790242513,41.94928741455078
159,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.699154794216156,41.94928765296936
160,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.699154794216156,41.94928765296936
161,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.699154798189799,41.94928789138794
162,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.699154802163442,41.94928812980652
163,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991548061370849,41.9492883682251
164,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991548061370849,41.9492883682251
165,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.699154810110728,41.94928860664368
166,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.699154814084371,41.949288845062256
